"","x"
"1",1206.31031254188
"2",1206.12614120692
"3",1205.30888090711
"4",1204.75636690161
"5",1204.01968156094
"6",1203.83510025533
"7",1201.43431337113
"8",1201.24963745697
"9",1200.51093380029
"10",1199.40287831528
"11",1199.21820240111
"12",1198.84885057277
"13",1198.6641746586
"14",1198.19094262855
"15",1198.00626671438
"16",1197.45223897187
"17",1197.2675630577
"18",1197.18676734525
"19",1197.00209143108
"20",1196.81741551691
"21",1196.63273960275
"22",1196.44806368858
"23",1196.34418348686
"24",1195.1553322894
"25",1195.05145208768
"26",1194.41662863272
"27",1194.23195271855
"28",1194.12807251683
"29",1193.75872068849
"30",1193.57404477433
"31",1193.12389723354
"32",1192.93922131937
"33",1192.7545454052
"34",1192.65066520348
"35",1192.56986949103
"36",1192.46598928931
"37",1192.28131337514
"38",1192.20051766269
"39",1191.72728563264
"40",1190.80538826261
"41",1190.2528742571
"42",1189.80395662763
"43",1189.51618891643
"44",1189.14784624609
"45",1189.06727128696
"46",1188.96367491092
"47",1188.77950357575
"48",1188.59533224059
"49",1188.51475728145
"50",1188.22698957025
"51",1188.14641461111
"52",1187.59390060561
"53",1187.30613289441
"54",1187.22555793527
"55",1186.4871065681
"56",1186.19855045221
"57",1185.82919862387
"58",1185.74840291142
"59",1185.37905108308
"60",1185.19437516892
"61",1185.0904949672
"62",1185.00969925475
"63",1184.82502334058
"64",1184.72114313886
"65",1184.45567151224
"66",1184.35179131052
"67",1184.27099559807
"68",1184.0863196839
"69",1183.71696785556
"70",1182.97826419889
"71",1182.689708083
"72",1182.13568034049
"73",1182.05488462805
"74",1181.68553279971
"75",1181.50085688554
"76",1180.84294894131
"77",1180.76215322886
"78",1180.65827302714
"79",1180.47359711298
"80",1180.20812548636
"81",1180.10424528464
"82",1180.02344957219
"83",1179.83877365802
"84",1179.7348934563
"85",1179.36554162796
"86",1179.18086571379
"87",1179.10007000134
"88",1178.81151388546
"89",1178.73071817301
"90",1178.07281022878
"91",1177.80733860216
"92",1176.7800788296
"93",1176.59540291543
"94",1176.41072700126
"95",1176.32993128881
"96",1176.22605108709
"97",1175.96057946047
"98",1175.85669925876
"99",1175.59122763214
"100",1175.48734743042
"101",1175.40655171797
"102",1175.03719988963
"103",1174.66784806129
"104",1174.19543597211
"105",1174.01126463694
"106",1173.64292196661
"107",1173.56234700747
"108",1173.3781756723
"109",1173.27457929627
"110",1173.0904079611
"111",1172.27314766129
"112",1172.16955128526
"113",1172.08897632612
"114",1171.90480499095
"115",1171.80120861492
"116",1171.72063365579
"117",1171.61703727975
"118",1171.35229098545
"119",1171.16811965028
"120",1170.79977697994
"121",1170.61560564478
"122",1169.69314062337
"123",1168.58508513836
"124",1168.40040922419
"125",1168.21573331002
"126",1168.1118531083
"127",1167.29235373918
"128",1167.10767782501
"129",1166.73832599667
"130",1166.5536500825
"131",1166.44976988078
"132",1166.36897416833
"133",1165.99962233999
"134",1165.44559459749
"135",1165.1570384816
"136",1164.89156685498
"137",1164.52221502664
"138",1164.41833482492
"139",1164.23365891075
"140",1164.15286319831
"141",1163.96818728414
"142",1163.67963116825
"143",1163.49495525408
"144",1163.41415954163
"145",1163.31027933991
"146",1163.22948362746
"147",1163.12560342574
"148",1163.04480771329
"149",1162.94092751157
