Year,Month,Temperature_2m,Skin_Temperature,Total_Precipitation
1984,1,260.46296609101466,256.6115741040265,0.2651796714437185
1984,2,260.62768431436444,256.94956535127426,0.48493055419898523
1984,3,263.9740705331873,260.0801926854451,0.4328870271027275
1984,4,268.72374835134923,264.66790371598864,0.3048386063283242
1984,5,271.2133932415997,271.1030533591376,1.5306118456328033
1984,6,276.91696953492146,273.75563625584164,0.589209111151389
1984,7,281.2117064997355,277.9834819508305,0.3158717914009381
1984,8,279.9533937878079,278.5519191563924,1.1086515641858115
1984,9,275.8360624095581,274.04875245397574,0.6866762397891037
1984,10,272.7641121351454,268.9494926136158,0.6778264547630649
1984,11,268.7183413798599,264.79485111660426,0.47569371791545734
1984,12,263.86198310512964,258.5683040926898,0.3638465652674338
1985,1,256.97311958482527,252.52552660906758,0.4092622503390841
1985,2,264.8693549846131,259.82756435253003,0.2106248754299395
1985,3,264.51546261907504,262.33533805734135,0.6734520702073336
1985,4,269.3875566735395,267.22171440826065,0.22464413664083707
1985,5,273.5216729278564,272.422256950661,1.3643255938410976
1985,6,276.59696244192304,273.6442504850658,0.5288994189798522
1985,7,282.803710623282,280.08066791788735,0.5624029548335832
1985,8,281.2220301135028,278.80313007835105,0.853084187480212
1985,9,280.64666476867205,277.9493648678133,0.22709138023988779
1985,10,276.1174402259544,273.06700252759015,0.15728482339570177
1985,11,263.90430862514455,260.53957190385717,0.34759429288593563
1985,12,264.8497459340979,258.5729044135765,0.165722659772776
1986,1,260.0645309533013,257.08670518804485,0.6904077207177512
1986,2,259.2644604171941,254.96958576814623,0.39528301285748985
1986,3,266.27210470637567,262.874930241055,0.2564626502284758
1986,4,268.1503881204539,268.0102901648744,2.2049847076498454
1986,5,276.2084103794805,273.5812739011976,0.6977480127667535
1986,6,278.75184110181084,273.77671781985697,0.3386189103634403
1986,7,281.36959004861336,279.2683717806781,0.565183372086732
1986,8,281.2698155961213,279.42827709367543,0.7449584664921978
1986,9,279.1648164700914,277.4702725655274,0.30120180762548465
1986,10,274.9072956958347,272.55535411749946,0.16415056548040988
1986,11,267.7465199946261,263.4351103643073,0.21534814677267433
1986,12,262.2776307087651,257.13250173752397,0.34145923298991
1987,1,260.7635568895693,255.2765093352706,0.3566721086355768
1987,2,264.38710526737174,260.66864752373084,0.5629050982894225
1987,3,262.8582430877685,259.10472703495736,0.23938217781967644
1987,4,270.2967973292559,267.2723930773973,0.6421632246536058
1987,5,272.3481187077275,270.25604865914806,0.3700418606081297
1987,6,276.56081663694414,274.4768011012753,0.8374889655274125
1987,7,281.84130314692743,280.1903613072148,1.3011169786958057
1987,8,281.82489623769123,279.79050675738296,0.9807126698299756
1987,9,281.07224570000307,278.5356619955479,0.4046913592823373
1987,10,274.05262194682933,272.0647570467348,1.0827569814550557
1987,11,268.0578375431222,264.35960787893714,0.5619059670688547
1987,12,266.37671919956915,260.72487195332843,0.1751809092649335
1988,1,264.53323117658823,261.47494337435126,0.4596734789132704
1988,2,262.49653932359485,257.2167376424396,0.24687581500620517
1988,3,264.28949644244165,261.61535781493006,0.5229083226879084
1988,4,270.83440595224897,269.7006510612517,0.5604995143236946
1988,5,275.14170109445075,273.53538700216785,0.9682283993351647
1988,6,277.53221470361467,275.3962787786023,0.6676772478936652
1988,7,282.30074453650576,280.16323783648454,0.9830638496748686
1988,8,282.2529328926935,280.0571788660685,0.7807970371477877
1988,9,278.64829750908746,277.04499204204456,0.2687754767753407
1988,10,274.67739494097674,272.26339871837473,1.6853962449168969
1988,11,267.09139291288295,261.5554824829101,0.0995028264720919
1988,12,264.3299681755349,259.1216749790333,0.42845050075459473
1989,1,265.2997377364547,256.50800492208975,0.02334178780098544
1989,2,266.90995385189603,261.13084712024585,0.37660556764708464
1989,3,268.7970911229452,264.07473553212486,0.17779422365576975
1989,4,268.992945268419,268.5359416055497,1.685732492055822
1989,5,274.90915464217574,272.0634350665057,0.29276582053169875
1989,6,277.7528074777538,275.26872391273236,0.4640627716856569
1989,7,282.2560402557939,280.3329899862784,0.7271810114870079
1989,8,281.5845154178761,279.58670734603317,0.5542169578001058
1989,9,278.1866572529877,277.4071482030642,0.3943731714627851
1989,10,274.14518823100906,270.6569908074273,0.1278318688565795
1989,11,266.78200261813924,261.4040355869454,0.37488126654246534
1989,12,265.45813118630866,257.4684342041016,0.276931330431104
1990,1,263.35988906973375,254.8004545788235,0.12569954262185226
1990,2,267.11726543913164,261.1103139596319,0.6238062538697166
1990,3,268.4287987136841,263.75158680725093,0.1800287864970334
1990,4,268.6055844765148,267.43694615389654,0.6695962763172355
1990,5,275.41516700462057,272.9675187225342,0.6543334254873305
1990,6,278.3002624386024,276.411937548758,0.870758027825876
1990,7,282.7948161968655,280.48610475497776,0.29366366422106505
1990,8,282.3435328157213,279.8921713056211,0.48554067629668446
1990,9,278.2317226544377,276.1779888550623,0.20646702292717925
1990,10,274.81054347229,273.58490540370235,1.002014559239769
1990,11,265.76797046266756,261.8743444976222,0.5178370286339098
1990,12,259.5840184993038,254.3035272951479,0.41230663405206264
1991,1,263.4249608668575,257.283734342787,0.27784284399356124
1991,2,260.45359773141365,254.34635434280207,0.11156134375607467
1991,3,269.36002355985283,267.7080852087515,1.0718003189609133
1991,4,267.9343094032844,265.73497820039364,0.4158747911117654
1991,5,271.5837573776245,269.6035643813522,0.39715093213047464
1991,6,277.4081532021592,274.1435663584274,0.61331078003361
1991,7,283.44068417188856,280.5728767118101,0.46526481284140037
1991,8,283.55969110361735,280.8130941563359,0.2771967787567766
1991,9,280.16045686159094,278.23538344050735,0.8920555604478336
1991,10,271.8712900294551,268.7461848517524,0.7129857697836113
1991,11,266.01798088249114,261.2646528102246,0.21217346055545186
1991,12,262.92528062269423,254.54678041246203,0.38227133839018956
1992,1,263.8877721478497,256.1954621302287,0.1876839229200738
1992,2,264.6618966096545,258.0268020999242,0.16198142758234654
1992,3,267.65525732393615,264.14580282875346,0.2346299882732083
1992,4,270.0177238364969,267.5717848532958,0.4887772965205326
1992,5,275.974707250807,273.1949684120461,0.5497260062628676
1992,6,277.1021019052089,276.0015685400835,1.3243188983860086
1992,7,281.96744510000724,280.11501234209976,0.7041173563710648
1992,8,283.5913880126388,280.6713045182405,0.7308372401450861
1992,9,278.1424069108634,276.50657664741135,1.0344257219864732
1992,10,270.36301640913223,268.6512108821163,1.1574613160873082
1992,11,269.0278074032137,264.6651915778968,0.31196016283811157
1992,12,264.470733281736,258.8981423133567,0.30657665083192537
1993,1,265.1005126065855,258.4445019997491,0.07375400417487105
1993,2,264.4176230772042,256.8537405241664,0.08489916602714669
1993,3,265.8639034285368,261.59518889702696,0.3311827920056607
1993,4,270.1866794463409,268.55730908828673,0.9959221365909912
1993,5,275.2402350540161,273.07114927051686,0.7424869900632234
1993,6,279.6152609510166,276.78817286699666,0.6461807028592631
