Year,Month,Temperature_2m,Skin_Temperature,Total_Precipitation
1984,1,257.9944149503955,253.54473941810295,112360.03559076194
1984,2,257.73574095217725,252.66165006230236,143793.24396412118
1984,3,260.74611849190495,255.7680867009297,76853.22672996286
1984,4,265.94680642365836,260.9303044531663,52207.12757671026
1984,5,268.6340204178635,268.66784891459434,236636.42124293963
1984,6,273.70576617874195,271.87158315476483,110470.62008751642
1984,7,277.6843435464986,273.62346354646695,57044.99011903782
1984,8,276.9078114084942,275.6910381847417,204513.23350880545
1984,9,272.56626180856296,271.03290119971666,141947.92958096403
1984,10,269.999255187701,264.4898533041097,123499.14390464309
1984,11,266.60484475841656,260.6718237895267,95671.69324281748
1984,12,260.8653557059288,253.95069752613014,77616.09118611466
1985,1,253.82125016938568,248.20120483126954,104118.62889219096
1985,2,262.2592655525896,255.91780798880413,93616.6741378806
1985,3,261.3805855773746,258.43478213176576,112153.0824102718
1985,4,266.59181367517755,263.0937184971102,66974.15287764762
1985,5,270.66137705480344,270.20135473225525,251380.35567127744
1985,6,273.1683178723763,271.77025059068404,112562.66710221073
1985,7,279.7788593205991,274.6981230983438,71837.39909122972
1985,8,277.95216242339814,275.0052391739582,153677.4271040708
1985,9,277.73715833545714,274.4550863974342,36523.34575717941
1985,10,273.96285500615556,269.5720867854543,21698.982033583765
1985,11,261.03147528497055,256.687553840165,95100.663110286
1985,12,262.3167183624312,253.18185860543267,40320.45891891696
1986,1,257.32032647276515,254.26622222050926,227394.6020567112
1986,2,256.4123077772521,250.05144386195036,75111.5864043286
1986,3,263.48899047375414,259.1050255216272,69424.5395355849
1986,4,265.6072024824874,265.02121037852606,349626.2660022513
1986,5,273.2110958338261,271.649963763264,111232.48379539898
1986,6,275.26883066787013,271.3599975739951,73190.45504284375
1986,7,278.23901690474673,275.23284653166615,82979.89239106295
1986,8,278.5994609007127,276.41284974699306,91376.5154276884
1986,9,276.7172869293008,274.56916258274924,38358.93709946455
1986,10,272.40654732296383,269.1444937107737,62271.725927732376
1986,11,264.71755041888696,257.52224810666934,50360.051230675264
1986,12,259.68698557248746,253.25838453317914,149721.38186989678
1987,1,257.8913703409381,251.38551190611398,108257.99613136423
1987,2,261.49450047888377,256.506593278935,95038.06562139437
1987,3,260.14323915742375,255.6267418888574,80100.69003615489
1987,4,267.65960046303167,263.01485800275145,132988.3567658295
1987,5,268.89475307437533,266.7611758149028,82676.32487737435
1987,6,273.092285273065,271.5866845538708,160583.01017170254
1987,7,278.3916830104298,274.8593451020933,182217.93665095
1987,8,278.49057006319254,276.3506473704207,176561.67862924436
1987,9,277.989537214293,275.0435087010666,61738.58144255541
1987,10,271.86385635104676,269.800026996594,189966.7689856361
1987,11,265.1876334848768,260.0537131777805,143587.64899804955
1987,12,263.45174533381396,256.08799594462204,53628.610810461454
1988,1,261.73631699795226,257.5231616877832,102648.83407262254
1988,2,259.47106923362537,253.2601650083792,98534.75047067403
1988,3,261.2460545358164,258.4427566749697,205450.0713603438
1988,4,268.1973996114827,266.40955456590626,99348.28232747831
1988,5,272.4335117075659,271.85501941821866,131013.89482459099
1988,6,274.3314736250137,272.6688217028691,113703.32496772773
1988,7,279.0301383050815,275.39591787482647,127016.50066150267
1988,8,279.2436807131537,276.8391732498757,112593.00403559259
1988,9,275.5864033006775,273.8087508492722,58124.44636044281
1988,10,271.95027835261345,269.29152926973603,251293.93462463666
1988,11,264.7318491873256,256.3100122261828,36292.5674299089
1988,12,261.6548172636747,255.3393420248178,126682.11279783487
1989,1,261.36512887241264,249.6590155757598,11257.45703302524
1989,2,263.418254851458,255.64942940837238,70520.55855966134
1989,3,265.7609999916189,259.87786560336,69549.49285428815
1989,4,266.1822906919642,265.0678037155723,301311.31223148684
1989,5,272.0196698768489,269.45648744893094,34420.347053677484
1989,6,274.16094630917263,271.8589655667029,69623.14408624335
1989,7,278.9584906764854,276.97409995760506,102860.5992361232
1989,8,278.3709640925567,276.22551644501533,79901.42681029165
1989,9,275.2767111385491,274.77130625328914,74448.66771564275
1989,10,271.06132736454094,265.6031269572501,58465.34157965528
1989,11,263.6817889218228,256.23558231967013,65198.28939375251
1989,12,262.21662919244045,251.6092385741691,73027.28451530752
1990,1,259.7541168268708,248.01584087949647,32900.88974500191
1990,2,264.16426660126785,256.7383276240986,212781.2263788118
1990,3,265.2211751868688,259.3132243722919,64674.04033010742
1990,4,265.7216095440729,263.92851686530497,125446.42217291203
1990,5,272.158836219819,270.8589460194498,83642.82481705392
1990,6,275.186907795534,272.5903451050379,153598.0646082859
1990,7,279.53001561827574,277.02573389053816,48392.85471731863
1990,8,279.50188918323397,276.92721380388986,66057.46647921622
1990,9,275.07600597587015,272.7585012606948,54692.592289216445
1990,10,272.66789650012316,270.93200511581375,165951.0947698489
1990,11,262.6068670142718,257.9939420332587,119061.52760708905
1990,12,256.84545111734553,250.079005518879,96853.43739299687
1991,1,260.17766097089503,252.47576898027836,76335.72855373855
1991,2,257.5627137238008,249.3973060009166,39169.360133608716
1991,3,267.08341755423044,263.6859328370545,170677.33719065148
1991,4,264.927922309985,261.26629857654626,97388.38392515128
1991,5,268.135821327193,266.00418360906104,90900.24264686188
1991,6,273.84389694193834,272.1159835472351,125121.96988489915
1991,7,279.8043805619452,275.04744387183564,81111.6729077487
1991,8,280.49718730726914,277.37455292335625,43272.51788736408
1991,9,277.47912575993075,275.3522613465498,131962.38512172873
1991,10,269.3910346954159,265.39746940316047,136604.16905819418
1991,11,263.12403442719415,257.2664759575178,70439.16569047165
1991,12,259.74626396884537,248.93783972103094,147869.89672753596
1992,1,260.5136433125699,249.87290200917565,32577.096385374127
1992,2,261.36595490124415,253.10792623586218,68944.43855181645
1992,3,264.5846540895446,260.0928079169781,81676.6308222252
1992,4,267.1336792133887,263.723375154673,102077.26251967407
1992,5,272.92798003418665,271.0960351175583,72199.88904278477
1992,6,274.25802165200247,272.9493915388732,236690.70144221664
1992,7,279.0001291736347,276.5009557512434,126860.90379362878
1992,8,280.9114246945339,277.42899649704555,90365.76201807201
1992,9,275.4903379878919,273.3243191890716,162814.1815116683
1992,10,267.7378974353564,266.22557653751153,247294.61912203353
1992,11,266.0888253807166,260.9604452482048,142587.46525299744
1992,12,261.42889711958577,253.8875601042143,101921.51733449842
1993,1,261.89800663527285,252.87663363454362,40186.20631043288
1993,2,260.55844576780515,250.73405088813246,34898.60298336819
1993,3,263.00625358689535,257.1178467413894,62181.16514334486
1993,4,267.3110025821643,265.1482898962616,208293.0713978817
