"","x"
"1",1310.52572972225
"2",1308.81696851533
"3",1306.1097733833
"4",1303.11761034264
"5",1300.41041521061
"6",1297.42637881624
"7",1296.99970555414
"8",1295.71734996528
"9",1295.43238205665
"10",1294.71996228506
"11",1294.57747833074
"12",1294.29251042211
"13",1292.86767087893
"14",1292.72518692462
"15",1292.5827029703
"16",1292.44021901598
"17",1292.29773506166
"18",1292.01276715303
"19",1291.7277992444
"20",1291.15786342713
"21",1291.01537947281
"22",1290.16047574691
"23",1289.44805597532
"24",1286.31635306478
"25",1285.17959583361
"26",1285.03750117971
"27",1283.75760304977
"28",1282.47524746091
"29",1281.90531164365
"30",1278.91314860298
"31",1278.77066464866
"32",1278.62818069435
"33",1278.48569674003
"34",1278.34321278571
"35",1278.2007288314
"36",1278.05824487708
"37",1277.34582510549
"38",1277.20334115117
"39",1276.63340533391
"40",1275.42229172221
"41",1274.99483985926
"42",1274.63862997346
"43",1274.5673879963
"44",1274.49614601915
"45",1274.35375938993
"46",1274.21166473604
"47",1273.92747542825
"48",1273.7143334474
"49",1273.64328612046
"50",1273.50119146656
"51",1273.14595483182
"52",1272.71967087013
"53",1272.29338690845
"54",1271.72500829286
"55",1271.44081898507
"56",1271.15662967728
"57",1271.01419438552
"58",1270.58674252256
"59",1270.44425856825
"60",1269.87432275098
"61",1269.80308077382
"62",1269.73183879666
"63",1269.30438693371
"64",1268.94817704792
"65",1268.73445111644
"66",1267.87954739054
"67",1267.73706343622
"68",1266.45470784736
"69",1265.74228807578
"70",1264.03248062397
"71",1263.60502876102
"72",1262.89260898943
"73",1262.46515712648
"74",1262.32267317216
"75",1262.03770526353
"76",1261.18336115698
"77",1260.18869857971
"78",1259.90450927192
"79",1259.19403600244
"80",1259.05194134854
"81",1258.76775204075
"82",1258.62565738686
"83",1258.48356273296
"84",1258.19937342517
"85",1257.3446400182
"86",1257.20215606388
"87",1256.34725233798
"88",1256.20476838366
"89",1256.06228442934
"90",1255.91980047503
"91",1255.77731652071
"92",1254.0675090689
"93",1253.92502511458
"94",1253.49757325163
"95",1253.212605343
"96",1253.07012138868
"97",1252.92763743436
"98",1252.78515348005
"99",1252.64266952573
"100",1252.07273370846
"101",1250.64789416529
"102",1250.22044230233
"103",1250.07795834802
"104",1249.9354743937
"105",1249.50802253075
"106",1249.36553857643
"107",1249.22305462211
"108",1249.0805706678
"109",1248.93808671348
"110",1248.79560275916
"111",1248.08401025097
"112",1247.65772628928
"113",1247.37353698149
"114",1247.16039500065
"115",1246.94725301981
"116",1246.87620569286
"117",1246.80515836591
"118",1246.73411103896
"119",1246.52096905812
"120",1246.23677975033
"121",1246.09468509643
"122",1245.88154311559
"123",1245.81049578864
"124",1245.52630648085
"125",1245.38421182695
"126",1245.09992519406
"127",1244.74371530826
"128",1244.52998937679
"129",1244.31626344531
"130",1243.88881158236
"131",1243.8175696052
"132",1243.39011774225
"133",1243.31887576509
"134",1243.24763378793
"135",1243.17639181077
"136",1243.03390785646
"137",1242.9626658793
"138",1242.89142390214
"139",1242.82018192498
"140",1242.74893994782
"141",1242.67769797066
"142",1242.6064559935
"143",1242.32148808487
"144",1242.25024610771
"145",1242.17900413055
"146",1242.03652017623
"147",1241.96527819908
"148",1240.96789051885
"149",1240.5404386559
"150",1240.25547074727
"151",1240.11298679295
"152",1240.04174481579
"153",1239.97050283863
"154",1239.82801888432
"155",1239.75677690716
"156",1239.54305097568
"157",1239.47180899852
"158",1239.40056702136
"159",1239.25808306705
"160",1239.18684108989
"161",1239.11559911273
"162",1239.04435713557
"163",1238.97311515841
"164",1238.90187318125
