Year,Month,Temperature_2m,Skin_Temperature,Total_Precipitation
1984,1,262.57382754573115,257.8907775002939,0.13287415671647074
1984,2,263.32670744184463,258.44837630892556,0.19253235360152005
1984,3,266.09657277566413,261.7487952606766,0.17412162831256364
1984,4,270.96894020285185,266.9575357839065,0.1241972061992731
1984,5,273.4110339751067,272.557277208964,0.4848995404752914
1984,6,278.5317882347838,274.7629594269383,0.18123425724737688
1984,7,283.2589911496198,283.0861125931917,0.10340706142650609
1984,8,282.3216452888206,283.49204668822114,0.3155827526351958
1984,9,277.8204922803974,277.6071699924396,0.3116052832764102
1984,10,274.6524283967194,271.609659226029,0.3051510707291178
1984,11,270.43289494861585,267.2043411152573,0.17027891952496324
1984,12,264.81373780709725,259.11652392775926,0.13859926664263783
1985,1,258.69718834205906,253.58658482304327,0.16785374759418903
1985,2,266.86708288938416,261.06660032861026,0.126301298902021
1985,3,267.14692480440493,263.71068837201153,0.24480684691631704
1985,4,271.9002918155714,269.88500770627314,0.11731642680359178
1985,5,275.42892205980087,273.5534709986934,0.3992660196658881
1985,6,279.0490127928869,276.8364112137835,0.26044554398155023
1985,7,285.46406124538845,286.65734369913736,0.2068157168437311
1985,8,283.28118878682454,284.00845762464735,0.4290127080672994
1985,9,282.641103937434,283.0374249133114,0.1058592678336696
1985,10,278.13273550951925,278.0146732090138,0.07385044391600343
1985,11,265.4636382018926,261.8985209205598,0.1486735641417409
1985,12,265.7181678814358,259.3299583957813,0.09042386677342704
1986,1,262.1908662216752,257.9832244661119,0.3168794293380631
1986,2,261.1235927032345,256.07714584884326,0.12694472324915848
1986,3,268.71364673473215,264.6500649162575,0.09893097157246108
1986,4,270.7073249319961,269.71034133151113,0.7491922999902875
1986,5,278.21154599507656,274.4945349869905,0.3091862198129589
1986,6,281.29149133528784,275.64038279157035,0.11195684046708178
1986,7,283.9372331873576,285.19608514149985,0.1811084024994016
1986,8,283.677166851185,285.01384767744275,0.2936236271320191
1986,9,281.490492412231,282.4267792405753,0.12317638866973082
1986,10,276.8968505280106,276.3685250882749,0.08370542520743304
1986,11,269.03591145774874,265.0240765363321,0.10909991510209692
1986,12,263.5387118177061,258.51838822117554,0.18885136527512275
1987,1,262.0454258855184,255.84510955951833,0.13055020031618436
1987,2,266.31255872593005,261.7783670935611,0.17648972240503344
1987,3,265.78528484485764,261.2865452858254,0.12663541024882988
1987,4,272.6473445410016,269.9491815150469,0.23570990292910193
1987,5,274.4818179264775,272.49870112948946,0.16939915539479192
1987,6,279.03112960464654,276.7704150934329,0.390696619430514
1987,7,283.99353204232676,285.5956249067518,0.5712134095241361
1987,8,283.91916826460096,285.0242074952302,0.45092820559340174
1987,9,283.24818001962717,283.79544286764445,0.14683094404064898
1987,10,276.02804843337447,275.1087683133726,0.44389514154758647
1987,11,270.2061478655,267.36032961849054,0.2064420473929625
1987,12,267.0588835695055,261.88974988301595,0.06152904120109185
1988,1,266.1509103577226,262.2431044529103,0.20547615216957868
1988,2,264.45744177197656,258.71055369604204,0.1389595396109562
1988,3,267.06016788341384,263.6368338168109,0.2887607933293989
1988,4,273.21108747314213,271.34668947271,0.13272275145229856
