Year,Month,Temperature_2m,Skin_Temperature,Total_Precipitation
1984,1,257.7441079457601,253.62489145067002,55182.83318958909
1984,2,257.3769221305847,252.47224841799056,59680.53948763539
1984,3,260.3335098054674,256.27294203440346,28412.48758674866
1984,4,265.681679385832,261.65020997496856,20751.770488335937
1984,5,268.35220548841687,269.110720676846,73293.30290667522
1984,6,273.34246821787167,272.57319163179943,42101.8969745164
1984,7,277.1979523764716,274.9198640399509,26593.111745002363
1984,8,276.63766028086343,278.73048979441324,68681.77542116868
1984,9,272.1767547212798,272.30023406017784,56101.10149372071
1984,10,269.5745820787218,264.6430022345649,42677.389455954784
1984,11,266.38906590691926,261.10200699992566,36723.57886882727
1984,12,260.405572297838,253.90569909413657,27917.001986581843
1985,1,253.32414508395726,247.99330529106987,41504.15304447186
1985,2,261.9195763387798,256.1542739397214,42557.02941971854
1985,3,260.94190735287134,258.34194153679744,40817.244109396575
1985,4,266.2066840906253,263.2972514053871,32290.60980250866
1985,5,270.2697857750787,270.3716932932536,80131.5757832698
1985,6,272.7191253969039,272.4155111860955,50357.10721626827
1985,7,279.26797671847874,276.5969150967068,26044.651565979515
1985,8,277.53263952467177,278.3008876376682,55107.99500374283
1985,9,277.4212550240001,278.6934550932084,13138.48327168659
1985,10,273.7710458755493,274.3577701780531,6772.883513359458
1985,11,260.7086220006833,256.8505735726192,39831.99859712409
1985,12,261.82226564619276,253.6060992558797,17062.20947932751
1986,1,256.98838946024574,254.19377676645914,99759.45351977515
1986,2,256.1245625342852,249.9947555212327,27660.5508891161
1986,3,263.05960358513727,259.426855913798,29516.24970760446
1986,4,265.3345517564094,264.79316009872264,108373.95328480595
1986,5,272.6881809234619,272.1684657414754,39474.44226233306
1986,6,274.6384370518827,271.9730797690907,30685.12907772974
1986,7,277.81387733883327,278.2166211658054,31296.565440474074
1986,8,278.27080228593616,281.1105319764879,31498.420896570333
1986,9,276.43879568165744,278.5319819614805,14709.903117963204
1986,10,272.1183415942722,272.037349234687,29476.982587921404
1986,11,264.27680061603417,257.3738730858112,21610.09108060087
1986,12,259.247964837816,253.53116012149388,69704.18332192261
1987,1,257.48042642805314,251.28292386796738,47672.178573960875
1987,2,261.0051001796016,256.5271423716604,30445.301415993268
1987,3,259.84560050964353,256.09725799560545,38134.6661978084
1987,4,267.31900458500303,263.2814914221051,48330.216248189485
1987,5,268.405037689209,267.1165866004096,35741.95903870448
