Year,Month,Temperature_2m,Skin_Temperature,Total_Precipitation
1989,1,256.7744784588253,248.50330207061677,62648.00319429432
1989,2,257.81363977483716,253.36077205139347,89385.3883207622
1989,3,261.86249187184995,257.78173723275046,72080.64518363212
1989,4,264.5254455582154,261.15456307934477,69564.0616653047
1989,5,269.02119315946584,267.25112537765204,46084.839360155995
1989,6,273.0346838422835,271.88216015935734,43276.19584322984
1989,7,278.1639811130697,278.0997196331952,87626.62222262971
1989,8,277.8271685972052,281.5875200409332,73174.704460298
1989,9,274.8651024813572,279.08070689822324,31843.672088234372
1989,10,269.16650390616826,271.73098414122916,11116.83641522474
1989,11,260.42821959148824,254.17657463620776,45549.67101768583
1989,12,257.91141465100054,250.44731686246962,33965.40048650533
1990,1,261.4011753808449,255.15137528652903,64509.61103675509
1990,2,260.08075343380557,256.206769836891,122478.28624140886
1990,3,261.2617980540927,256.5569500522024,106084.23604921476
1990,4,265.44623346507205,261.50719897531167,47184.65585115269
1990,5,270.7195557880249,269.1882642719315,11674.16662695088
1990,6,274.94603299463137,273.6541955898406,35459.51826838456
1990,7,279.6500386707865,281.13085161266343,99644.77014498024
1990,8,279.58366125683114,282.9287401419615,103435.12933671552
1990,9,276.8490769851569,280.818374838889,43970.113057779665
1990,10,266.22262354998634,265.622091231444,15646.727218292086
1990,11,263.99603597675076,264.04746706768,2870.6524443792377
1990,12,260.79382074573317,257.6107048889138,99539.19207404267
1991,1,256.1642351738463,248.59154635848466,31792.419256942198
1991,2,259.29028513900687,255.06283685726683,92978.21002910622
1991,3,263.1057563573455,258.4171709505449,91634.76615933805
1991,4,265.1923744878492,262.41396486646056,94874.38978290212
1991,5,269.59351278548456,268.1039836210385,34652.73701457223
1991,6,272.22241035367546,271.01861266940233,7518.722294570768
1991,7,277.944808217501,278.0621618681688,69886.04798789503
1991,8,279.31483604534753,283.0038035452091,68040.55156344094
1991,9,275.7381007464353,279.64098016311385,51643.0024333837
1991,10,267.82506326907367,270.42384313266524,7381.464908242152
1991,11,264.06898408592747,264.78656035610754,8452.932879440074
1991,12,260.1595140824986,254.93765900790942,26749.02776076275
1992,1,259.53772208155533,253.85088226381754,135648.05756026693
1992,2,257.59981667833847,250.8527159197825,65249.85700337725
1992,3,262.96952417093814,259.62981892282073,181007.86744014377
1992,4,265.93542416339216,262.8098364296753,33966.6618241093
1992,5,268.77408517393513,267.434945411849,35251.5937671862
1992,6,273.1130057282837,271.71046042072084,43960.024711253085
1992,7,278.4315383783914,276.179311101198,74776.90149789605
1992,8,279.61547887566127,282.6333722615879,78134.92496995363
1992,9,275.5231527873789,278.8081783889195,42021.66589868505
1992,10,268.8225751938068,271.45485343491265,16095.525468263442
1992,11,263.99333055347415,261.3382797027706,16576.95361216121
1992,12,257.46321938050244,251.50542676247784,11025.856219654273
1993,1,257.27142555637477,250.48644859957747,84736.19552006076
1993,2,260.99760895257714,255.98267214505117,61807.09761325414
1993,3,260.7589461900545,256.5999631213259,115371.06895392646
1993,4,265.02167209219095,261.939122518922,9650.726022543395
1993,5,271.0413715278288,270.0047460186499,50547.41733852616
1993,6,275.75506732230014,274.2000719015104,44006.30878757578
1993,7,279.07392961431924,281.8240601264172,124058.85708084666
1993,8,278.94687479759637,283.0535801822292,38226.60479749775
1993,9,275.58621164547486,279.19617209490707,47301.126344130345
1993,10,269.0712541624174,271.5978830734328,7020.455966160659
1993,11,262.1086466435565,255.26816921406876,29950.18813274392
1993,12,259.16340119814913,250.89216422029597,8068.950599956567
1994,1,258.7022206802507,253.5000979031757,99181.059413079
1994,2,258.3567420155235,253.96508703145832,106022.47780078651
1994,3,263.77411150026944,259.16789435168937,50680.04060661596
1994,4,264.9527899630064,261.50677170065535,104254.53450490511
1994,5,269.4714305968587,268.4508417010322,26648.941610812617
1994,6,274.8243019015457,272.4069661664611,36169.33296677977
1994,7,280.50156360883835,279.84405360936876,157086.7999311831
1994,8,280.2177914587401,283.46186748563196,121982.49061050733
1994,9,275.3730475955946,278.9732153563381,39574.89228623876
1994,10,267.74419676376,268.9429529282999,16149.756239379285
1994,11,264.77750143564543,265.4620804862906,5564.9541685855265
1994,12,259.829343851431,254.45118607457647,91117.00186620068
1995,1,254.4343582908437,246.68917507577333,57245.35558362564
