Year,Month,Temperature_2m,Skin_Temperature,Total_Precipitation
1989,1,257.89727867974176,247.1240790685018,9785.707499810747
1989,2,259.1963706310884,252.51204483597368,15024.094178653195
1989,3,263.0217159059313,257.1475266562568,11701.712962738235
1989,4,265.6437953642045,260.5503432832915,11873.098739583336
1989,5,269.9474586062961,266.8907556321886,8536.440032880284
1989,6,273.8843743554477,272.2542074795427,6354.770936104398
1989,7,279.12794115278456,274.71430914137096,11919.592157178911
1989,8,278.9760825475057,281.6708811018202,10508.988905775255
1989,9,276.1677588978033,280.05226490415373,4518.121152249084
1989,10,270.3529592090183,273.357108645969,1838.9186242276744
1989,11,260.63944237807704,252.88802471380123,7709.44299747848
1989,12,258.2021182378133,249.06625332302517,5691.26267742382
1990,1,262.31595323350695,254.34816443125408,11658.396297210733
1990,2,260.930236439646,255.282771240046,19040.65962569459
1990,3,261.9228481928507,255.58841862148708,16273.587806311116
1990,4,266.25690148890703,260.5756080013582,7921.049902483358
1990,5,271.6967394510905,269.44115240308975,1579.0146682572074
1990,6,275.6887904857767,273.3606956306545,5459.785944959438
1990,7,280.5579830805461,278.4582310570611,12372.369213750499
1990,8,280.76385258568655,283.95294467078315,13846.646515873093
1990,9,278.0630214077303,281.96485008590525,6554.647367456161
1990,10,267.02906159294974,264.64773370954725,2704.8139747755863
1990,11,264.427250500383,264.06661206826396,401.9266827938949
1990,12,261.5051633199056,258.7478569030762,16392.775767457904
1991,1,256.72548730638295,247.48306702507867,5517.911602630781
1991,2,260.3308676966914,254.20793818250115,15212.938688623304
1991,3,263.7990475760566,257.52831028832327,14495.071821951396
1991,4,266.0589943589835,261.89730694650234,15137.355520104087
1991,5,270.423357963562,268.20204955206975,6839.783962194357
1991,6,272.66990637505194,271.6062608477713,1121.092314362774
1991,7,278.3971854739719,275.298712793986,8545.062432134073
1991,8,280.47576402028403,283.69348742167153,9761.735294491396
1991,9,277.0250098129799,280.85051144128556,7237.077745310212
1991,10,268.70511258443196,272.0379268222385,1486.942350982523
1991,11,264.7732649836047,266.65928871330175,1861.98047989973
1991,12,260.49502487182616,252.77667787339954,4820.399289838304
1992,1,260.21134448581273,252.81823101043702,20673.084097588508
1992,2,258.29964671816145,249.68187018803187,10612.60140941112
1992,3,263.99012512630884,259.0999656253391,29281.66753665265
1992,4,266.6920601855749,262.2349632087795,6006.831818762575
1992,5,269.44786773257783,266.7727700975206,6135.281481037721
1992,6,273.7009181318612,272.0649709811156,5767.303228892647
1992,7,279.52566290961374,274.61533529493545,10307.539715356612
1992,8,280.795932536655,282.2140210257636,10462.225629453782
1992,9,276.66999536273124,279.50284501875956,6362.8548421419255
1992,10,269.6095765219794,272.57829157511395,2656.7136258456662
1992,11,264.3372209044709,261.4561011654207,2855.785099997142
1992,12,257.71191289689807,250.35674720340305,2159.03633381069
1993,1,258.08590261671276,249.2628326204088,13691.083911057942
1993,2,261.610815472073,254.93426553702648,10128.749388593444
1993,3,261.46190111372204,255.78653666178386,17958.884712624982
1993,4,265.70842569723897,261.1543448656455,1648.904167919189
1993,5,271.79503735436333,270.7500300937229,7995.356162254018
1993,6,276.40824477974024,272.6579672276289,6167.161188367145
1993,7,279.8940840827094,280.39054027133517,18863.557841162095
1993,8,280.2169853422377,284.4105866962009,5750.3572792362465
1993,9,276.873870433062,280.2986812591553,6791.18336723497
1993,10,270.27186364067927,273.24211938646107,1507.713323478597
1993,11,262.36081949869794,254.37965026943164,5093.3707995072755
1993,12,258.97420154147676,248.88989815182157,1584.2163683258782
1994,1,259.522855313619,252.46698044670953,16269.264094526314
1994,2,259.37040538552367,253.11859446396062,16932.191453828844
1994,3,264.4359254837036,258.28754901885986,8816.970702429455
1994,4,265.7698709772921,260.8379618326823,16636.36455931438
1994,5,270.2133040957981,268.29078347947865,4458.932086334577
1994,6,275.55842914800536,272.75046554653125,5073.916736718704
1994,7,281.5309662924873,277.27657568189835,19781.183625245532
1994,8,281.41000063154434,284.6492527431912,15742.076379602446
1994,9,276.8022181193034,280.16510060189785,6324.13155442568
1994,10,268.5176191965739,269.20294585757784,2844.230095142513
1994,11,264.71028799298165,266.4190698382498,893.3794252960159
1994,12,260.29781629774305,253.9778989368015,15768.872419108684
1995,1,254.85823069678412,245.30845966339112,8832.404023954996
1995,2,259.36964635495787,253.11798941058876,14138.906997603639
1995,3,262.4216996934679,256.97192486657036,10348.976256127942
1995,4,266.6055767892421,262.18951904910733,9944.70892178959
1995,5,271.2180639266968,268.6622081332737,4449.882762352743
1995,6,275.83512183441513,272.6950184175338,6377.656055130576
1995,7,280.755106417338,279.35888758765327,17116.77344143395
1995,8,280.7098814646403,283.8078313615587,16566.08056451136
1995,9,274.9584726574777,276.98348084811505,10241.698737779072
1995,10,268.3175553427802,267.2500688764784,4512.309083780784
1995,11,261.3634979642671,254.8530923689919,2668.291294600751
1995,12,258.857453028361,250.16396963331434,9542.520494720966
1996,1,257.70103715260825,250.04326248168945,15626.363688144274
1996,2,260.4535941850571,253.45432753789993,11916.79676852835
1996,3,265.19333040449357,260.7498415629069,26480.39801632135
1996,4,266.8384242660698,261.34521681686925,9252.623449917135
1996,5,270.70901868608263,268.87082220713296,11057.46946524564
1996,6,275.96410393988947,273.1879826907454,6564.227873422812
1996,7,280.00513485802543,274.6787807040744,8997.717037077371
1996,8,280.6588236914741,282.2393079121908,14665.653779463413
1996,9,277.0490216880009,280.7333244236036,5180.721739294223
1996,10,267.25594804551866,267.2820344924927,3027.2359426686803
1996,11,263.29392439743566,262.1698322953849,2158.272633867151
1996,12,258.7264365726047,246.9559904522366,3127.948690849417
1997,1,256.39109480116105,246.8263973871867,7167.329507843391
1997,2,257.998924938249,249.13061318574128,9919.911432837564
1997,3,262.9937407811483,256.7772583643595,13611.840721564577
1997,4,265.5220207126661,260.9511415985809,4091.3703504631444
1997,5,268.72494502597385,268.0249873691135,6704.693978017749
1997,6,274.3427966545368,272.9832182697866,5942.564598520911
1997,7,281.2483160866631,282.56646967993845,11955.38906618712
1997,8,279.7316665013631,281.8484426710341,15048.532801277286
1997,9,276.99817289155106,280.77630998896456,6104.225549316214
1997,10,267.239911142985,269.55660745832654,4219.281843981243
1997,11,260.4320796221152,253.95670244063453,9943.441230052946
1997,12,258.92462287478975,250.65403927697076,7942.526536611191
1998,1,258.26816732618545,249.21746656629773,10338.27834992035
1998,2,259.8896853835494,252.9116946561837,17214.913806753164
1998,3,262.4979653676351,256.3342009226481,14530.578948411361
1998,4,267.39449176569093,263.46165994666086,4431.296817007848
1998,5,271.85722433725994,270.745282236735,6162.649199289326
1998,6,275.44505283750334,272.7439630223417,13315.04668568868
1998,7,280.9017765045166,278.6920976003011,11631.89443191311
1998,8,281.4548091252645,285.30932937198213,8111.326438789218
1998,9,277.4679875647885,280.1884173908453,8368.685362655386
1998,10,269.50132414499916,269.19380196465386,10164.414219748318
1998,11,261.7986605194793,256.35519126365926,456.113094693451
1998,12,261.74944464365643,256.3811071607802,1380.708782777042
1999,1,259.12753077612984,251.548457315233,11531.611177170513
1999,2,260.62334329110604,252.93881821338042,7211.099048063592
1999,3,264.19404021369087,258.0415389166938,13819.848152651146
1999,4,267.71414688811905,262.5122668386876,5136.211934416252
1999,5,272.540090031094,270.9841401629978,9814.086867180351
1999,6,275.3788897634923,272.88223707264865,6084.242725462971
1999,7,280.2489985571967,281.37370552486846,17712.766386881576
1999,8,280.27946243286135,284.1251609378391,12237.744120369634
1999,9,277.94607217284454,281.94610003767343,6419.426067832656
1999,10,269.45456280178496,272.9388440238105,1794.0163108492243
1999,11,262.21224116182873,254.75789263056612,3335.136760418377
1999,12,259.34336691962346,252.1345257865058,643.5353816430707
2000,1,259.3772728814019,251.92098066541882,11768.78480541919
2000,2,256.95647085280643,248.99261799312774,8297.038670844751
2000,3,261.20143839518227,253.9613169140286,10754.60269260993
2000,4,267.164947926313,263.11866181472254,3079.992921023942
2000,5,273.9804848353068,271.3476461410522,3127.637579312128
2000,6,277.7221458917377,278.91805927232764,12180.387601038079
2000,7,280.9179500367906,284.7779736412896,13717.394659713373
2000,8,280.20609241061743,284.41476713816326,8207.825114068344
2000,9,275.92560399811845,279.72676143427003,6146.0518164377
2000,10,271.5664009518093,273.9787901772393,1327.3490997231465
2000,11,265.3469309752015,261.77260032741503,5657.2050587154445
2000,12,258.3812721040514,247.00965243445503,2471.7917315691843
2001,1,257.37788270314536,247.03114043341742,3606.0629736165456
2001,2,259.7633285286986,250.36014436792445,6617.491635036674
2001,3,260.66774870554605,252.75472310384114,7168.144400390992
2001,4,266.89858552779276,262.0571942384216,6081.1382691404415
2001,5,271.95873845418294,270.17385720147024,3648.0320852356067
2001,6,277.4337809770957,278.6201549179253,8920.483677737857
2001,7,281.4108969370524,284.83444936540394,15216.197605835698
2001,8,280.42272402445474,284.51661902533635,11560.943268902822
2001,9,275.16402273068485,278.99579102965606,3541.0720137842127
2001,10,270.3047043270535,273.20579886966283,2298.799592022003
2001,11,261.4641616426665,253.08548574338013,2995.7578212148906
2001,12,259.5398336834378,251.10558471679687,8238.889722690581
2002,1,256.95263322194415,248.19147584703234,7866.504906007659
2002,2,259.6656844527633,252.39876429239908,11154.476101185499
2002,3,263.3753327899509,256.2680350833469,12720.207108776667
2002,4,267.57642213229474,263.65994457814884,9433.32331128866
2002,5,271.39387226104736,269.5849063449436,3946.033683107277
2002,6,275.9572944641113,273.6783545921589,5908.1113064829
2002,7,280.3005189259847,283.3602110332913,9206.002034600391
2002,8,280.75372806125216,284.265774069892,12709.078031709389
2002,9,273.59215567577843,275.6372731307457,9409.846074429825
2002,10,269.550242000156,272.7155123180813,2544.299306986437
2002,11,265.8916474704085,267.43445293382666,1012.492290053933
2002,12,259.7727018568251,253.70290376875136,4110.543490454988
2003,1,258.49594459533694,249.58326507144506,5760.907317085923
2003,2,259.94919200002414,251.9886411972988,19575.632583765742
2003,3,262.8914608001709,256.63925427330867,15418.946508875484
2003,4,267.25566607508165,261.8096790971427,9852.180610663836
2003,5,268.56818487379286,266.4384079615275,8290.525193742133
2003,6,275.0723914661627,272.74656330854043,4055.563998383777
2003,7,280.408653555976,278.83629737430147,11861.262122091019
2003,8,280.636434618632,284.34806632995605,8853.878859645367
2003,9,277.5846181189877,281.1371447026045,6983.650620330668
