Year,Month,Temperature_2m,Skin_Temperature,Total_Precipitation
1989,1,257.9266451044387,247.1645499457027,4264.505885393659
1989,2,259.22221459552725,252.54333024044965,6545.912927978749
1989,3,263.0484313023205,257.1767202688251,5096.422766165186
1989,4,265.6722809406977,260.5843582137896,5167.106782290996
1989,5,269.976728996629,266.93040617980415,3713.0620280872513
1989,6,273.91383612617466,272.2668396565442,2781.051250799294
1989,7,279.14972856685665,274.8164570515428,5212.954301604395
1989,8,278.99503059167307,281.71356159719693,4592.224730385207
1989,9,276.1877942059509,280.08558818345364,1977.2390172637483
1989,10,270.37673269947055,273.39649614477577,803.1564729898168
1989,11,260.67525226018404,252.92986119336229,3358.5497667931454
1989,12,258.23806792242436,249.11008217217557,2477.031856838374
1990,1,262.34329067901615,254.37779858427547,5070.5268979146695
1990,2,260.9574417073589,255.31594733075792,8301.438625488248
1990,3,261.9530009893262,255.625297631998,7094.624088931083
1990,4,266.28564414803134,260.61903208711294,3451.4287100778065
1990,5,271.72095265378863,269.4664971462907,692.8092523298438
1990,6,275.7152291688535,273.3882165368766,2389.0973682311437
1990,7,280.5758931338385,278.5403836972959,5416.701185977375
1990,8,280.7766500421296,283.97836258893886,6060.451412142686
1990,9,278.0783537876013,281.9908796901737,2865.9493088068466
1990,10,267.05695602936834,264.71182729625275,1179.6151301565026
1990,11,264.46348951039477,264.13649604287,175.3602630261543
1990,12,261.53610418606274,258.7771271277632,7134.9324088846015
1991,1,256.75850212509806,247.51950122967628,2401.584508174696
1991,2,260.3573454022019,254.24012659787607,6626.792295551509
1991,3,263.8286363829768,257.5606995379165,6314.431462504316
1991,4,266.0870507647403,261.92910790773243,6594.15213619909
1991,5,270.4502108476747,268.22905015265144,2972.3282736258557
1991,6,272.7001249994088,271.6190283562176,488.6050257112617
1991,7,278.42284718435286,275.38671632357176,3748.943562620632
1991,8,280.49029535424404,283.7262083811002,4268.265007184139
1991,9,277.0407495580516,280.87693885745284,3165.9244705923165
1991,10,268.7343062798241,272.07769398594536,647.381512620942
1991,11,264.8048329382745,266.6951183874787,808.7667660786997
1991,12,260.5297213061778,252.8341332879081,2099.5904868352886
1992,1,260.24054617370547,252.85307623798164,9011.302150529138
1992,2,258.33055856042864,249.7182440613167,4625.7807108784955
1992,3,264.0145455544832,259.1267357269261,12753.972955267154
1992,4,266.72129314807813,262.26472991437566,2614.9909164338073
1992,5,269.4778706591439,266.8140095807847,2672.7682210951684
1992,6,273.7311732558635,272.07704422511983,2529.743445922178
1992,7,279.54129849359896,274.6695792944559,4511.391319424557
1992,8,280.80887071095333,282.26078730833814,4581.939778342334
1992,9,276.68838086108093,279.5397157468631,2776.1543276922803
1992,10,269.636945150687,272.62039068792825,1160.4849614190466
1992,11,264.3680172257285,261.49643730381143,1244.9805511563268
1992,12,257.75147469866687,250.40345782829075,939.2677199676783
1993,1,258.11404320585444,249.29777338534728,5967.343721993682
1993,2,261.6411476651807,254.9717084404322,4413.300421505727
1993,3,261.4919787474847,255.8210879057904,7828.8745171953415
1993,4,265.7388235639988,261.1998148595013,717.8621191886756
1993,5,271.82402291320426,270.7617670311647,3490.9435581596836
1993,6,276.4368248611929,272.71397165402533,2701.909537470034
1993,7,279.91454921276,280.45474749247626,8230.315146156363
1993,8,280.23084733461224,284.43554067610796,2516.3017702876323
1993,9,276.89072084702053,280.32859276381856,2966.2162921390477
1993,10,270.29668042275944,273.2838592090658,656.3472478150309
1993,11,262.3964828252999,254.4219636863145,2219.5851604841487
1993,12,259.02134401032833,248.95326185265515,687.2730847699555
1994,1,259.55088922552994,252.49963556111206,7084.248841212771
1994,2,259.3964925762154,253.148452260012,7377.976492483393
1994,3,264.4678730746976,258.3218560979211,3838.69798092395
1994,4,265.79815610559405,260.8708441174163,7246.9538986893185
1994,5,270.2414673786804,268.3185532658795,1943.3864203321182
1994,6,275.5871221556059,272.7607846654345,2220.055385093843
1994,7,281.5451416077942,277.35420075209385,8665.972544682203
1994,8,281.4221665969443,284.67249678169117,6897.388283617412
1994,9,276.81879585689325,280.1976989861942,2760.2795972274175
1994,10,268.5465701764292,269.25763333782675,1239.3913010564665
1994,11,264.74984954198845,266.4697217111659,390.3807992148068
1994,12,260.3291687159858,254.00878716833364,6866.047783959214
1995,1,254.89272880922346,245.34704546800347,3851.3776548149617
1995,2,259.3977812292546,253.15173850484678,6162.794143925373
1995,3,262.44873483163633,257.00491695011397,4506.809191432497
1995,4,266.63154012008704,262.22338164071886,4330.065488735865
1995,5,271.24751421059864,268.69376632756183,1935.6974435210363
1995,6,275.86654567544923,272.7423267170396,2786.493149623317
1995,7,280.7713052868658,279.43718522958204,7502.809097235852
1995,8,280.72258272108996,283.8319583859495,7246.302073441176
1995,9,274.9846056774223,277.03289400352116,4469.127437840415
1995,10,268.34972842192934,267.3264932896168,1965.8050075091637
1995,11,261.4168768150305,255.01313047501705,1162.8123716123503
1995,12,258.8895591443606,250.20119049956563,4153.367238988636
1996,1,257.7299206309685,250.0782281352153,6813.527020296545
1996,2,260.48361960424654,253.48899108227943,5191.917829138321
1996,3,265.21992508499494,260.7793401745707,11540.93391520204
1996,4,266.86843344585816,261.3855011617414,4026.7458730760554
1996,5,270.73609469786226,268.892912342668,4812.3490713153515
1996,6,275.9920375234705,273.1963170770054,2876.667446746689
