"","x"
"1",1470.03544769938
"2",1470.0451755919
"3",1470.04656529083
"4",1470.04795855919
"5",1470.05004881868
"6",1470.05283583134
"7",1470.05492609083
"8",1470.05562284399
"9",1470.05631959715
"10",1470.05701635031
"11",1470.05771310348
"12",1470.06050011613
"13",1470.06119686929
"14",1470.06886115409
"15",1470.07025466041
"16",1470.07095141358
"17",1470.0723449199
"18",1470.07373842623
"19",1470.07443517939
"20",1470.07513193256
"21",1470.07652543888
"22",1470.07931245154
"23",1470.0800092047
"24",1470.08140271103
"25",1470.08279621735
"26",1470.08349297051
"27",1470.08627998317
"28",1470.08767348949
"29",1470.08837024266
"30",1470.08906699582
"31",1470.09115725531
"32",1470.09185400847
"33",1470.09602988719
"34",1470.10297838185
"35",1470.10367323132
"36",1470.10575777971
"37",1470.10645262918
"38",1470.10714747865
"39",1470.11131954997
"40",1470.11201630313
"41",1470.11550006895
"42",1470.11759032844
"43",1470.11898383476
"44",1470.12107409425
"45",1470.12246760058
"46",1470.12595136639
"47",1470.12664811956
"48",1470.12734487272
"49",1470.13570591068
"50",1470.137099417
"51",1470.13779617017
"52",1470.13849292333
"53",1470.14964097394
"54",1470.15103448027
"55",1470.15173123343
"56",1470.15242798659
"57",1470.15451824608
"58",1470.15521499925
"59",1470.15800177394
"60",1470.1607811718
"61",1470.1628657202
"62",1470.16356056966
"63",1470.16564511806
"64",1470.16911936539
"65",1470.16981421486
"66",1470.17120391379
"67",1470.17398378758
"68",1470.17468054074
"69",1470.17537729391
"70",1470.17677080023
"71",1470.17746755339
"72",1470.18025456605
"73",1470.18234482554
"74",1470.1830415787
"75",1470.18373833186
"76",1470.18443508503
"77",1470.18652534452
"78",1470.18791885084
"79",1470.18931235717
"80",1470.19140261666
"81",1470.19209936982
"82",1470.19349287615
"83",1470.19488638247
"84",1470.1962798888
"85",1470.19697664196
"86",1470.19767339513
"87",1470.19906690145
"88",1470.19976365462
"89",1470.20324742043
"90",1470.20394417359
"91",1470.20812469257
"92",1470.20882144574
"93",1470.21021495206
"94",1470.21091170523
"95",1470.21300196472
"96",1470.21369871788
"97",1470.21439547104
"98",1470.21787923686
"99",1470.21857599002
"100",1470.22275305855
"101",1470.22344790801
"102",1470.22414275748
"103",1470.22622730588
"104",1470.22761700481
"105",1470.22831185428
"106",1470.23109125214
"107",1470.23178610161
"108",1470.23248095107
"109",1470.23317580054
"110",1470.23387065
"111",1470.23456549947
"112",1470.23804153152
"113",1470.23873828468
"114",1470.23943503784
"115",1470.24082854417
"116",1470.24152529733
"117",1470.2422220505
"118",1470.24361555682
"119",1470.24431230998
"120",1470.24640256947
"121",1470.24709932264
"122",1470.24918958213
"123",1470.25058308845
"124",1470.25476360743
"125",1470.2554603606
"126",1470.25755062008
"127",1470.25824737325
"128",1470.25894412641
"129",1470.2610343859
"130",1470.26173113906
"131",1470.26242789223
"132",1470.26382139855
"133",1470.26451815172
"134",1470.26730516437
"135",1470.27009217702
"136",1470.27705970865
"137",1470.27775646182
"138",1470.2781048384
"139",1470.27845321498
"140",1470.27880159156
"141",1470.28019509789
"142",1470.28089185105
"143",1470.28124022763
"144",1470.28228535738
"145",1470.2836788637
"146",1470.28507237003
"147",1470.2857672195
"148",1470.28680949369
"149",1470.28785176789
"150",1470.28819919263
"151",1470.29167343996
"152",1470.29375798835
"153",1470.29410541309
"154",1470.29480026255
"155",1470.29514768729
"156",1470.29549511202
"157",1470.30035905828
"158",1470.30244765204
"159",1470.3031444052
"160",1470.30418953494
"161",1470.30488628811
"162",1470.3069765476
"163",1470.30732492418
"164",1470.30802167734
"165",1470.30976356025
"166",1470.31011193683
"167",1470.31080868999
"168",1470.31115706657
"169",1470.31185381974
"170",1470.31220219632
"171",1470.31289894948
"172",1470.31359570265
"173",1470.31429245581
"174",1470.31568596214
"175",1470.31603433872
"176",1470.31707946846
"177",1470.31742784504
"178",1470.31812459821
"179",1470.31916972795
"180",1470.31986648111
"181",1470.32056323428
"182",1470.32335024693
"183",1470.32369862351
"184",1470.32439537667
"185",1470.32474375326
"186",1470.32613725958
"187",1470.32683401275
"188",1470.32892427224
"189",1470.33031777856
"190",1470.33171128489
"191",1470.33310479121
"192",1470.33449829754
"193",1470.3351950507
"194",1470.33589180387
"195",1470.33658855703
"196",1470.34111745259
"197",1470.34216258234
"198",1470.34251095892
"199",1470.34529797157
"200",1470.34634310131
"201",1470.34773660764
"202",1470.34878138044
"203",1470.35051850411
"204",1470.35190820304
"205",1470.35434017617
"206",1470.3546876009
"207",1470.3557298751
"208",1470.35711957403
"209",1470.35746699877
"210",1470.3578144235
"211",1470.3588566977
"212",1470.35920412243
"213",1470.35955154716
"214",1470.36059382136
"215",1470.36337321923
"216",1470.36372064396
"217",1470.36476351306
"218",1470.36511188965
"219",1470.36580864281
"220",1470.36615701939
"221",1470.36755052572
"222",1470.3678989023
"223",1470.36859565546
"224",1470.37242779786
"225",1470.37416968077
"226",1470.37695669342
"227",1470.37765344658
"228",1470.37835019975
"229",1470.37869857633
"230",1470.38218234214
"231",1470.38287909531
"232",1470.38566610796
"233",1470.38740799087
"234",1470.38880149719
"235",1470.38914987378
"236",1470.3905433801
"237",1470.39193688643
"238",1470.39298201617
"239",1470.39367876934
"240",1470.39402714592
"241",1470.39542065224
"242",1470.39576902883
"243",1470.39855604148
"244",1470.40064630097
"245",1470.40482681995
"246",1470.40552357311
"247",1470.40900733892
"248",1470.40970409209
"249",1470.41318524032
"250",1470.41388008979
"251",1470.41457493925
"252",1470.41561721345
"253",1470.41631206292
"254",1470.41770176185
"255",1470.41978631025
"256",1470.42013373498
"257",1470.42117600918
"258",1470.42221828338
"259",1470.42360798231
"260",1470.42395540704
"261",1470.42430283178
"262",1470.42499768124
"263",1470.42708222964
"264",1470.42847288042
"265",1470.428821257
"266",1470.42916963358
"267",1470.43160826965
"268",1470.43439528231
"269",1470.43474365889
"270",1470.43509203547
"271",1470.43544041205
"272",1470.43683391838
"273",1470.43718229496
"274",1470.43857580129
"275",1470.43892417787
"276",1470.43927255445
"277",1470.43962093103
"278",1470.43996930761
"279",1470.44066606078
"280",1470.44136281394
"281",1470.44275632027
"282",1470.44380145001
"283",1470.44484657975
"284",1470.4458917095
"285",1470.44624008608
"286",1470.44833034557
"287",1470.44902709873
"288",1470.45076898164
"289",1470.45216248797
"290",1470.45320761771
"291",1470.45355599429
"292",1470.45460112404
"293",1470.45599463037
